date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:55:56	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202019%2012:56:12%20GMT	http://psdconverthtml.com/live/yourjob/yourjob-v1/employer-edit-profile.html	psdconverthtml.com/live/yourjob/yourjob-v1/employer-edit-profile.47.delayed	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/index.html)
18:56:00	122146/122146	---M--	200	added ('OK')	image/png	etag:%225cb0f899-1dd22%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/upload/testi_05.png	psdconverthtml.com/live/yourjob/yourjob-v1/upload/testi_05.png	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/index.html)
18:56:02	147359/147359	---M--	200	added ('OK')	image/png	etag:%225cb0f899-23f9f%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/upload/testi_06.png	psdconverthtml.com/live/yourjob/yourjob-v1/upload/testi_06.png	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/index.html)
18:56:08	136283/136283	---M--	200	added ('OK')	image/png	etag:%225cb0f899-2145b%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/upload/testi_04.png	psdconverthtml.com/live/yourjob/yourjob-v1/upload/testi_04.png	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/index.html)
18:56:08	25169/25169	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Oct%202019%2012:56:15%20GMT	https://psdconverthtml.com/live/yourjob/yourjob-v1/employer-edit-profile.html	psdconverthtml.com/live/yourjob/yourjob-v1/employer-edit-profile.48.delayed	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/index.html)
18:56:10	11994/11994	---M--	200	added ('OK')	image/png	etag:%225cb0f899-2eda%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/images/mobile_01.png	psdconverthtml.com/live/yourjob/yourjob-v1/images/mobile_01.png	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/index.html)
18:56:11	12149/12149	---M--	200	added ('OK')	image/png	etag:%225cb0f899-2f75%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/images/mobile_02.png	psdconverthtml.com/live/yourjob/yourjob-v1/images/mobile_02.png	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/index.html)
18:56:12	3424/3424	---M--	200	added ('OK')	image/jpeg	etag:%225cb0f899-d60%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/upload/me.jpg	psdconverthtml.com/live/yourjob/yourjob-v1/upload/me.jpg	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/index.html)
18:56:15	97163/97163	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cb0f8b5-17b8b%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/js/jquery.js	psdconverthtml.com/live/yourjob/yourjob-v1/js/jquery.js	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/index.html)
18:56:16	37045/37045	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cb0f8b5-90b5%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/js/bootstrap.min.js	psdconverthtml.com/live/yourjob/yourjob-v1/js/bootstrap.min.js	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/index.html)
18:56:18	3101/3101	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cb0f8b5-c1d%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/js/custom.js	psdconverthtml.com/live/yourjob/yourjob-v1/js/custom.js	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/index.html)
